table,file,select,join,insert,update,delete,total_refs
t_clientedireccion,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,2,0,2,1,1,6
t_clientegestionlogistica,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,2,0,2,1,1,6
t_clienteserviciologistico,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,2,0,2,1,1,6
t_cobro,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,1,2,1,0,0,4
t_codigosrecuperarcontrasena,AtlantesBE-main/AtlantesBE-main/app/routes/usuarios.php,1,1,1,1,0,4
t_columnas_moverdividir,AtlantesBE-main/AtlantesBE-main/app/routes/usuarios.php,0,1,0,0,0,1
t_columnas_pedido,AtlantesBE-main/AtlantesBE-main/app/routes/usuarios.php,0,1,0,0,0,1
t_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,6,0,0,0,6
t_concepto,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,15,0,0,0,15
t_concepto,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,2,0,2,2,0,6
t_concepto,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,6,0,0,0,6
t_concepto,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,0,1,0,0,0,1
t_concepto,almacen.sql,0,22,0,0,0,22
t_consideraciones,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,0,0,1,1,0,2
t_consideraciones,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,2,0,0,0,2
t_contemplacion,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,0,0,1,1,0,2
t_contemplacion,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,3,0,0,0,3
t_correonit,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,4,0,1,0,1,6
t_correonit,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_correosembarque,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,3,0,1,1,1,6
t_costo,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,8,0,2,0,10
t_costo,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,3,0,4,2,2,11
t_costo,almacen.sql,0,4,0,0,0,4
t_costocotizacion,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,2,0,1,1,1,5
t_cotizacion,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,2,1,1,2,0,6
t_cotizacionconsideraciones,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,2,0,1,0,1,4
t_cotizacioncontemplacion,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,1,0,1,1,1,4
t_cuenta,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,12,0,0,0,12
t_cuenta,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,1,1,0,3
t_danios_vehiculos,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,1,1,0,0,0,2
t_destinocargo,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_destinocargo,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,1,0,0,0,1
t_devolucion,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,1,0,1,0,0,2
t_devoluciondetalle,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,2,1,0,0,3
t_dias_creacion_entrega,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,1,0,0,0,0,1
t_diasemana,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,5,0,0,0,5
t_diasemana,almacen.sql,0,1,0,0,0,1
t_diasvencimiento,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3,0,0,0,0,3
t_divisa,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,2,0,0,0,2
t_divisa,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,7,0,0,0,7
t_divisa,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,1,0,0,0,2
t_divisa,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,4,0,0,0,4
t_divisa,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,0,2,0,0,0,2
t_divisa,almacen.sql,0,2,0,0,0,2
t_divisaordenservicio,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,1,0,0,0,1
t_divisaordenservicio,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_doc_errada,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,1,0,0,0,1
t_doc_errada,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_dosificacion,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,1,4,0,1,0,6
t_embalaje,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,30,0,0,0,30
t_embalaje,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,2,0,0,0,3
t_embalaje,almacen.sql,0,4,0,0,0,4
t_embarque,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,5,0,0,0,5
t_embarque,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,52,0,0,0,52
t_embarque,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,6,17,3,4,0,30
t_embarque,almacen.sql,1,41,0,0,0,42
t_empresa,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,2,0,0,0,0,2
t_empresa,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,1,0,0,0,1
t_empresa,AtlantesBE-main/AtlantesBE-main/app/routes/empresa.php,0,0,0,1,0,1
t_empresa,AtlantesBE-main/AtlantesBE-main/app/routes/usuarios.php,0,3,0,0,0,3
t_empresadivisa,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,2,0,1,0,1,4
t_estado_etapa,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,3,0,0,0,3
t_estadofactura,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,4,0,0,0,4
t_estadofactura,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,12,0,0,0,12
t_estadofactura,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,7,0,0,0,7
t_estadofactura,almacen.sql,0,1,0,0,0,1
t_etapa,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,19,0,0,0,19
t_etapa,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_evento,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,2,0,2,2,1,7
t_eventocotizacion,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,2,0,1,1,1,5
t_eventodescripcion,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_eventodescripcion,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,2,0,0,0,2
t_factura,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,2,0,0,5,0,7
t_factura,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,8,9,2,2,0,21
t_factura,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_factura,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,4,0,0,0,4
t_factura,almacen.sql,0,25,0,0,0,25
t_facturapago,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1,2,0,2,0,5
t_facturapago,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,3,6,1,1,0,11
t_facturapago,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,3,0,0,0,3
t_facturapago,almacen.sql,0,11,0,0,0,11
t_horario,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_horario,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,0,1,0,0,0,1
t_importacion_exportacion,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,4,0,0,0,4
t_importacion_exportacion,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,3,4,0,0,0,7
t_incoterms,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_incoterms,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,3,0,0,0,3
t_incoterms,almacen.sql,0,1,0,0,0,1
t_ingreso,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,6,27,4,3,0,40
t_ingreso,almacen.sql,0,2,0,0,0,2
t_ingresodetalle,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,8,19,4,7,1,39
t_ingresodetalle,almacen.sql,0,2,0,0,0,2
t_ingresodetalle_accesorios,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,2,1,1,1,2,7
t_inter_company,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,1,0,0,0,0,1
t_inventariofisico,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,8,2,6,0,16
t_inventariofisicoconteo,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,7,7,2,2,1,19
t_inventariofisicoconteoimagen,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,1,1,2,0,1,5
t_inventariofisicodetalle,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,6,7,5,7,2,27
t_inventariofisicodetallearchivo,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,0,1,0,0,1
t_inventariofisicoetiqueta,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,3,0,0,0,3
t_inventariofisicoetiqueta,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_invoice,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,3,2,2,1,0,8
t_invoice,almacen.sql,0,2,0,0,0,2
t_mediotransporte,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_mediotransporte,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,0,1,0,0,0,1
t_mediotransporte,almacen.sql,0,1,0,0,0,1
t_merma,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,11,0,0,0,11
t_merma,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_merma,almacen.sql,0,2,0,0,0,2
t_metodopago,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,1,0,0,0,1
t_modulo,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,4,0,0,0,0,4
t_motivoanulacion,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,3,0,0,0,3
t_motivoanulacion,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_movilizador,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,3,0,0,0,3
t_movilizador,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_no_conf,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,11,0,0,0,11
t_no_conf,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_no_conf,almacen.sql,0,2,0,0,0,2
t_notadebito,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,2,9,1,1,0,13
t_notadebito,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,4,0,0,0,4
t_notadebito,almacen.sql,0,25,0,0,0,25
t_ordenservicioe,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,1,0,0,0,1
t_ordenservicioi,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,1,0,0,0,1
t_pago,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,1,3,1,0,0,5
t_pagodetalle,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,1,1,0,0,2
t_pedido,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,10,10,2,3,1,26
t_pedidodetalle,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,23,2,4,2,5,36
t_pedidodisponibilidad,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,6,1,2,0,6,15
