action,table,file,line
JOIN,dav_pagos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1295
JOIN,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1296
JOIN,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1297
JOIN,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1298
SELECT,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1315
SELECT,dav_pagosdetalle,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1315
SELECT,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1317
JOIN,dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1328
JOIN,dav_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1329
JOIN,dav_pagos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1330
JOIN,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1331
JOIN,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1332
JOIN,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1333
UPDATE,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1394
UPDATE,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1405
SELECT,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1455
JOIN,dav_pagos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1459
JOIN,dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1460
JOIN,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1461
JOIN,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1462
JOIN,dav_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1463
JOIN,dav_pagos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1479
JOIN,dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1480
JOIN,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1481
JOIN,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1482
JOIN,dav_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1483
SELECT,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1503
JOIN,dav_pagos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1507
JOIN,dav_notasdebito,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1508
JOIN,dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1509
JOIN,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1510
JOIN,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1511
JOIN,dav_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1512
JOIN,dav_pagos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1528
